RXN	LB	flux	UB
RXN-3HAD100_FWD-fabZ	        0.00	0.07243474	     1000.00
RXN-3HAD120_FWD-fabZ	        0.00	0.06806294	     1000.00
RXN-3HAD140_FWD-fabZ	        0.00	0.06806294	     1000.00
RXN-3HAD160_FWD-fabZ	        0.00	0.06343397	     1000.00
RXN-3HAD180_FWD-fabZ	        0.00	0.00531474	     1000.00
RXN-3HAD40_1_FWD-fabZ	        0.00	0.07243474	     1000.00
RXN-3HAD60_FWD-fabZ	        0.00	0.07243474	     1000.00
RXN-3HAD80_FWD-fabZ	        0.00	0.07243474	     1000.00
RXN-3OAR100_REV-fabG_1283	        0.00	0.07243474	     1000.00
RXN-3OAR120_REV-fabG_1283	        0.00	0.06806294	     1000.00
RXN-3OAR140_REV-fabG_1283	        0.00	0.06806294	     1000.00
RXN-3OAR160_REV-Clo1313_1283	        0.00	0.06343397	     1000.00
RXN-3OAR18B_FWD-fabG_1283	        0.00	0.00531474	     1000.00
RXN-3OAR40_REV-fabG_1283	        0.00	0.07243474	     1000.00
RXN-3OAR60_REV-fabG_1283	        0.00	0.07243474	     1000.00
RXN-3OAR80_REV-fabG_1283	        0.00	0.07243474	     1000.00
RXN-3OAS100_FWD-fabF	        0.00	0.07243474	     1000.00
RXN-3OAS120_FWD-fabF	        0.00	0.06806294	     1000.00
RXN-3OAS140_FWD-fabF	        0.00	0.06806294	     1000.00
RXN-3OAS160_FWD-fabF	        0.00	0.06343397	     1000.00
RXN-3OAS60_FWD-fabF	        0.00	0.07243474	     1000.00
RXN-3OAS80_FWD-fabF	        0.00	0.07243474	     1000.00
RXN-4crsolt_FWD-SPONT	        0.00	0.00000008	     1000.00
RXN-AACPS3MBUT_FWD-UNKNOWN	        0.00	0.01328685	     1000.00
RXN-ABGPT_FWD-glcK	        0.00	4.20000000	     1000.00
RXN-ACALD_FWD-gbsB_1798	        0.00	2.07747944	     1000.00
RXN-ACAS_2ahbut_FWD-ilvBH_0099	        0.00	0.14479996	     1000.00
RXN-ACCOAC_FWD-yqjD	        0.00	0.57056285	     1000.00
RXN-ACGK_FWD-argB	        0.00	0.07881321	     1000.00
RXN-ACKr_FWD-ackA	        0.00	3.72056227	     1000.00
RXN-ACLS_FWD-ivlBH_0099	        0.00	0.79373094	     1000.00
RXN-ACOATA_FWD-fabHA_1281	        0.00	0.07243474	     1000.00
RXN-ACONT_FWD-leuC	        0.00	1.26616792	     1000.00
RXN-ACOTA_REV-argD	        0.00	0.07881321	     1000.00
RXN-ACt_FWD-SPONT	        0.00	2.88786120	     1000.00
RXN-ADA_REV-ylmD	        0.00	0.07401883	     1000.00
RXN-ADK1_REV-adk	        0.00	4.88604210	     1000.00
RXN-ADSK_FWD-tufA	        0.00	0.07854313	     1000.00
RXN-ADSL2r_FWD-purB	        0.00	0.07407418	     1000.00
RXN-AGPR_REV-argC	        0.00	0.07881321	     1000.00
RXN-AGT_REV-pucG	        0.00	0.40843503	     1000.00
RXN-AHSL_REV-mccB	        0.00	0.83270107	     1000.00
RXN-AICART_FWD-purH	        0.00	0.10295438	     1000.00
RXN-ALAALAr_FWD-ddl	        0.00	0.04061332	     1000.00
RXN-ALAR_FWD-ylmE	        0.00	0.14002595	     1000.00
RXN-ALAt_FWD-azlCD	        0.00	0.08354640	     1000.00
RXN-ALATRS_FWD-alaS	        0.00	0.14527312	     1000.00
RXN-ALCD23xi_FWD-gbsB_1798	        0.00	0.10297632	     1000.00
RXN-ALCD2x_FWD-gbsB_1798	        0.00	2.07747960	     1000.00
RXN-ALLAS_FWD-ltaSC_2170	        0.00	0.00069700	     1000.00
RXN-ANPRT_FWD-trpD	        0.00	0.01644940	     1000.00
RXN-ANS_FWD-pabA	        0.00	0.01644940	     1000.00
RXN-AOXPBDC_FWD-SPONT	        0.00	0.00014182	     1000.00
RXN-APRAUR_FWD-ribD	        0.00	0.00007343	     1000.00
RXN-ARGSL_FWD-argH	        0.00	0.07881321	     1000.00
RXN-ARGSS_FWD-argG	        0.00	0.07881321	     1000.00
RXN-ARGTRS_FWD-argS	        0.00	0.07881321	     1000.00
RXN-ASAD_REV-asd	        0.00	0.34806608	     1000.00
RXN-ASAHL_FWD-dapA	        0.00	0.19719740	     1000.00
RXN-ASNabc_FWD-artPhisMglnQ	        0.00	0.04178160	     1000.00
RXN-ASNS2_FWD-asnA	        0.00	0.13378655	     1000.00
RXN-ASNTRS_FWD-asnC	        0.00	0.09200495	     1000.00
RXN-ASPCT_FWD-pyrB	        0.00	0.05411909	     1000.00
RXN-ASPK_FWD-thrD	        0.00	0.34806608	     1000.00
RXN-ASPO2y_FWD-nadB	        0.00	0.00733909	     1000.00
RXN-ASPTA_FWD-aspB	        0.00	0.80273186	     1000.00
RXN-ASPTRS_FWD-aspS_0923	        0.00	0.10653366	     1000.00
RXN-ATAS_FWD-ltaSC_2170	        0.00	0.00093492	     1000.00
RXN-ATPM_FWD-SPONT	        1.74	1.74478100	     1000.00
RXN-ATPPRT_FWD-hisGZ	        0.00	0.02888020	     1000.00
RXN-BC13FAS_FWD-UNKNOWN	        0.00	0.00188587	     1000.00
RXN-BC17FAS_FWD-UNKNOWN	        0.00	0.01140097	     1000.00
RXN-BIF_REV-HndACD	        0.00	54.64818759	     1000.00
RXN-BPNT_FWD-tufA	        0.00	0.07854313	     1000.00
RXN-Ca2CaZn_FWD-SPONT	        0.00	0.00000062	     1000.00
RXN-Ca2divalent_FWD-SPONT	        0.00	0.00007295	     1000.00
RXN-CAT_FWD-UNKNOWN	        0.00	0.00007091	     1000.00
RXN-CAt7r_FWD-ECM27	        0.00	0.00141210	     1000.00
RXN-CBPS_FWD-carAB_1267	        0.00	0.13293230	     1000.00
RXN-CDGPT_FWD-pgsA	        0.00	0.00822118	     1000.00
RXN-CDGS_FWD-cdsA	        0.00	0.03073979	     1000.00
RXN-CDGSOT_FWD-UNKNOWN	        0.00	0.02209142	     1000.00
RXN-CEL2abc_FWD-MSTS_0	        0.00	4.20000000	     1000.00
RXN-CEPA_FWD-ADU75001	        0.00	4.20000000	     1000.00
RXN-CHORM_FWD-aroH	        0.00	0.16441783	     1000.00
RXN-CHRS_FWD-aroC	        0.00	0.18086723	     1000.00
RXN-CITCIb_FWD-leuCD	        0.00	0.14479996	     1000.00
RXN-CITMS_FWD-leuA_0857	        0.00	0.14479996	     1000.00
RXN-CLS2_FWD-clsC	        0.00	0.00042719	     1000.00
RXN-Co2CoZn_FWD-SPONT	        0.00	0.00000136	     1000.00
RXN-CO2t_REV-SPONT	        0.00	6.68987760	     1000.00
RXN-COabc_FWD-cbiOQM	        0.00	0.00000136	     1000.00
RXN-COt_REV-SPONT	        0.00	0.00000008	     1000.00
