RXN	LB	flux	UB
RXN-3HAD100_FWD-fabZ	        0.00	0.07243474	     1000.00
RXN-3HAD120_FWD-fabZ	        0.00	0.06806294	     1000.00
RXN-3HAD140_FWD-fabZ	        0.00	0.06806294	     1000.00
RXN-3HAD160_FWD-fabZ	        0.00	0.06343397	     1000.00
RXN-3HAD180_FWD-fabZ	        0.00	0.00531474	     1000.00
RXN-3HAD40_1_FWD-fabZ	        0.00	0.07243474	     1000.00
RXN-3HAD60_FWD-fabZ	        0.00	0.07243474	     1000.00
RXN-3HAD80_FWD-fabZ	        0.00	0.07243474	     1000.00
RXN-3OAR100_REV-fabG_1283	        0.00	0.07243474	     1000.00
RXN-3OAR120_REV-fabG_1283	        0.00	0.06806294	     1000.00
RXN-3OAR140_REV-fabG_1283	        0.00	0.06806294	     1000.00
RXN-3OAR160_REV-Clo1313_1283	        0.00	0.06343397	     1000.00
RXN-3OAR18B_FWD-fabG_1283	        0.00	0.00531474	     1000.00
RXN-3OAR40_REV-fabG_1283	        0.00	0.07243474	     1000.00
RXN-3OAR60_REV-fabG_1283	        0.00	0.07243474	     1000.00
RXN-3OAR80_REV-fabG_1283	        0.00	0.07243474	     1000.00
RXN-3OAS100_FWD-fabF	        0.00	0.07243474	     1000.00
RXN-3OAS120_FWD-fabF	        0.00	0.06806294	     1000.00
RXN-3OAS140_FWD-fabF	        0.00	0.06806294	     1000.00
RXN-3OAS160_FWD-fabF	        0.00	0.06343397	     1000.00
RXN-3OAS60_FWD-fabF	        0.00	0.07243474	     1000.00
RXN-3OAS80_FWD-fabF	        0.00	0.07243474	     1000.00
RXN-4crsolt_FWD-SPONT	        0.00	0.00000008	     1000.00
RXN-AACPS3MBUT_FWD-UNKNOWN	        0.00	0.01328685	     1000.00
RXN-ABGPT_FWD-glcK	        0.00	1.62417494	     1000.00
RXN-ACALD_FWD-gbsB_1798	        0.00	2.65337145	     1000.00
RXN-ACAS_2ahbut_FWD-ilvBH_0099	        0.00	0.14388766	     1000.00
RXN-ACCOAC_FWD-yqjD	        0.00	0.57056285	     1000.00
RXN-ACGK_FWD-argB	        0.00	0.07468585	     1000.00
RXN-ACKr_FWD-ackA	        0.00	3.13453042	     1000.00
RXN-ACLS_FWD-ivlBH_0099	        0.00	0.67759182	     1000.00
RXN-ACOATA_FWD-fabHA_1281	        0.00	0.07243474	     1000.00
RXN-ACONT_FWD-leuC	        0.00	0.36909961	     1000.00
RXN-ACOTA_REV-argD	        0.00	0.07468585	     1000.00
RXN-ACt_FWD-SPONT	        0.00	3.33000180	     1000.00
RXN-ADA_REV-ylmD	        0.00	0.07285938	     1000.00
RXN-ADK1_REV-adk	        0.00	3.48932388	     1000.00
RXN-ADSK_FWD-tufA	        0.00	1.37598978	     1000.00
RXN-ADSL2r_FWD-purB	        0.00	0.07407119	     1000.00
RXN-AGPR_REV-argC	        0.00	0.07468585	     1000.00
RXN-AGT_REV-pucG	        0.00	0.32301207	     1000.00
RXN-AHSERL2_FWD-mccB_2335	        0.00	0.05158371	     1000.00
RXN-AHSL_FWD-mccB	        0.00	0.14388766	     1000.00
RXN-AICART_FWD-purH	        0.00	0.10179223	     1000.00
RXN-ALAALAr_FWD-ddl	        0.00	0.04061332	     1000.00
RXN-ALAR_FWD-ylmE	        0.00	0.14002595	     1000.00
RXN-ALATRS_FWD-alaS	        0.00	0.14335884	     1000.00
RXN-ALCD23xi_FWD-gbsB_1798	        0.00	0.36792860	     1000.00
RXN-ALCD2x_FWD-gbsB_1798	        0.00	2.65337160	     1000.00
RXN-ALLAS_FWD-ltaSC_2170	        0.00	0.00069700	     1000.00
RXN-ANPRT_FWD-trpD	        0.00	0.01860055	     1000.00
RXN-ANS_FWD-pabA	        0.00	0.01860055	     1000.00
RXN-AOXPBDC_FWD-SPONT	        0.00	0.00013659	     1000.00
RXN-APRAUR_FWD-ribD	        0.00	0.00007072	     1000.00
RXN-ARGSL_FWD-argH	        0.00	0.07468585	     1000.00
RXN-ARGSS_FWD-argG	        0.00	0.07468585	     1000.00
RXN-ARGTRS_FWD-argS	        0.00	0.07468585	     1000.00
RXN-ASAD_REV-asd	        0.00	0.48812086	     1000.00
RXN-ASAHL_FWD-dapA	        0.00	0.19510469	     1000.00
RXN-ASNS2_FWD-asnA	        0.00	0.09757572	     1000.00
RXN-ASNTRS_FWD-asnC	        0.00	0.09757572	     1000.00
RXN-ASPCT_FWD-pyrB	        0.00	0.05411909	     1000.00
RXN-ASPK_FWD-thrD	        0.00	0.48812086	     1000.00
RXN-ASPO2y_FWD-nadB	        0.00	0.00733894	     1000.00
RXN-ASPTA_FWD-aspB	        0.00	0.90177554	     1000.00
RXN-ASPTRS_FWD-aspS_0923	        0.00	0.10586389	     1000.00
RXN-ATAS_FWD-ltaSC_2170	        0.00	0.00093492	     1000.00
RXN-ATPM_FWD-SPONT	        1.74	1.74478100	     1000.00
RXN-ATPPRT_FWD-hisGZ	        0.00	0.02772103	     1000.00
RXN-BC13FAS_FWD-UNKNOWN	        0.00	0.00188587	     1000.00
RXN-BC17FAS_FWD-UNKNOWN	        0.00	0.01140097	     1000.00
RXN-BIF_REV-HndACD	        0.00	62.78214565	     1000.00
RXN-BPNT_FWD-tufA	        0.00	1.37598978	     1000.00
RXN-Ca2CaZn_FWD-SPONT	        0.00	0.00000134	     1000.00
RXN-Ca2divalent_FWD-SPONT	        0.00	0.00007026	     1000.00
RXN-CAT_FWD-UNKNOWN	        0.00	0.00006830	     1000.00
RXN-CAt7r_FWD-ECM27	        0.00	0.00141189	     1000.00
RXN-CBPS_FWD-carAB_1267	        0.00	0.12880494	     1000.00
RXN-CDGPT_FWD-pgsA	        0.00	0.00822118	     1000.00
RXN-CDGS_FWD-cdsA	        0.00	0.03073979	     1000.00
RXN-CDGSOT_FWD-UNKNOWN	        0.00	0.02209142	     1000.00
RXN-CEL2abc_FWD-MSTS_0	        0.00	0.00017811	     1000.00
RXN-CEL3abc_FWD-MSTS_0	        0.00	0.10382969	     1000.00
RXN-CEL4abc_FWD-MSTS_0	        0.00	1.10251883	     1000.00
RXN-CEL5abc_FWD-MSTS_0	        0.00	0.41382172	     1000.00
RXN-CEL6abc_FWD-MSTS_0	        0.00	0.00382660	     1000.00
RXN-CEPA_FWD-ADU75001	        0.00	1.62417494	     1000.00
RXN-CEPA2_FWD-glgP	        0.00	1.62399683	     1000.00
RXN-CEPA3_FWD-glgP	        0.00	1.52016714	     1000.00
RXN-CEPA4_FWD-glgP	        0.00	0.41764831	     1000.00
RXN-CEPA5_FWD-glgP	        0.00	0.00382660	     1000.00
RXN-CHORM_FWD-aroH	        0.00	0.16325533	     1000.00
